time_sec,time_nsec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
1733338805,750070176,0,0,0,0,0,1e-11,1
1733338805,773129662,0,0,0,0,0,1e-11,1
1733338805,790414028,0,0,0,0,0,1e-11,1
1733338805,810099087,0,0,0,0,0,1e-11,1
1733338805,831224060,0,0,0,0,0,1e-11,1
1733338805,850495067,0,0,0,0,0,1e-11,1
1733338805,870763682,0,0,0,0,0,1e-11,1
1733338805,892072113,0,0,0,0,0,1e-11,1
1733338805,910138214,0,0,0,0,0,1e-11,1
1733338805,933850921,0,0,0,0,0,1e-11,1
1733338805,950004046,0,0,0,0,0,1e-11,1
1733338805,969930258,0,0,0,0,0,1e-11,1
1733338805,989991224,0,0,0,0,0,1e-11,1
1733338806,9984508,0,0,0,0,0,1e-11,1
1733338806,30043873,0,0,0,0,0,1e-11,1
1733338806,49943813,0,0,0,0,0,1e-11,1
1733338806,70003434,0,0,0,0,0,1e-11,1
1733338806,90118256,0,0,0,0,0,1e-11,1
1733338806,110034676,0,0,0,0,0,1e-11,1
1733338806,130404668,0,0,0,0,0,1e-11,1
1733338806,149923420,0,0,0,0,0,1e-11,1
1733338806,169949857,0,0,0,0,0,1e-11,1
1733338806,190387113,0,0,0,0,0,1e-11,1
1733338806,210053547,0,0,0,0,0,1e-11,1
1733338806,230018416,0,0,0,0,0,1e-11,1
1733338806,250063637,0,0,0,0,0,1e-11,1
1733338806,270141306,0,0,0,0,0,1e-11,1
1733338806,291102982,0,0,0,0,0,1e-11,1
1733338806,310099811,0,0,0,0,0,1e-11,1
1733338806,330006023,0,0,0,0,0,1e-11,1
1733338806,350028524,0,0,0,0,0,1e-11,1
1733338806,370724470,0,0,0,0,0,1e-11,1
1733338806,390041525,0,0,0,0,0,1e-11,1
1733338806,410070426,0,0,0,0,0,1e-11,1
1733338806,430160543,0,0,0,0,0,1e-11,1
1733338806,450722888,0,0,0,0,0,1e-11,1
1733338806,470419435,0,0,0,0,0,1e-11,1
1733338806,491041908,0,0,0,0,0,1e-11,1
1733338806,510772311,0,0,0,0,0,1e-11,1
1733338806,529953781,0,0,0,0,0,1e-11,1
1733338806,550105595,0,0,0,0,0,1e-11,1
1733338806,570050879,0,0,0,0,0,1e-11,1
1733338806,592543864,0,0,0,0,0,1e-11,1
1733338806,610594221,0,0,0,0,0,1e-11,1
1733338806,630151310,0,0,0,0,0,1e-11,1
1733338806,650410964,0,0,0,0,0,1e-11,1
1733338806,670628411,0,0,0,0,0,1e-11,1
1733338806,690060443,0,0,0,0,0,1e-11,1
1733338806,710058303,0,0,0,0,0,1e-11,1
1733338806,730049220,0,0,0,0,0,1e-11,1
1733338806,750247914,0,0,0,0,0,1e-11,1
1733338806,769995245,0,0,0,0,0,1e-11,1
1733338806,789960465,0,0,0,0,0,1e-11,1
1733338806,809995702,0,0,0,0,0,1e-11,1
1733338806,831138628,0,0,0,0,0,1e-11,1
1733338806,850036736,0,0,0,0,0,1e-11,1
1733338806,870062533,0,0,0,0,0,1e-11,1
1733338806,890029065,0,0,0,0,0,1e-11,1
1733338806,910106862,0,0,0,0,0,1e-11,1
1733338806,930028242,0,0,0,0,0,1e-11,1
1733338806,950100376,0,0,0,0,0,1e-11,1
1733338806,970046652,0,0,0,0,0,1e-11,1
1733338806,989984960,0,0,0,0,0,1e-11,1
1733338807,10003973,0,0,0,0,0,1e-11,1
1733338807,30177003,0,0,0,0,0,1e-11,1
1733338807,49993870,0,0,0,0,0,1e-11,1
1733338807,70034515,0,0,0,0,0,1e-11,1
1733338807,89970455,0,0,0,0,0,1e-11,1
1733338807,110149437,0,0,0,0,0,1e-11,1
